,created_at,tweets,location
117,2019-05-02 07:54:38,brt ingrahamangle taxpayers should demand these trumphating barr bashing democrats repay their salaries this barr hearing is a completxe2x80xa6,b''
118,2019-05-02 07:54:38,brt realsaavedra hillary clinton calls on china to illegally obtain trumpxe2x80x99s tax returns and give them to american medianndnc chair tom perxe2x80xa6,"b'Pacific Beach, San Diego'"
119,2019-05-02 07:54:36,brt juliewa43117224 trinityresists did anyone ever consider the fact that improper actions by trumps fellow republicans may be cited inxe2x80xa6,b'Planet Earth'
120,2019-05-02 07:54:36,brt edkrassen watching republicans question william barr today reminds us all that the problem doesnt begin with donald trump the problexe2x80xa6,b'Earth'
121,2019-05-02 07:54:34,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,"b'Pennsylvania, USA'"
122,2019-05-02 07:54:33,brt ingrahamangle taxpayers should demand these trumphating barr bashing democrats repay their salaries this barr hearing is a completxe2x80xa6,"b'New York, USA'"
123,2019-05-02 07:54:26,brt pink_about_it democrats are totally right ag barr might be working for trumpnnif only he had a tarmac meeting with melania discussinxe2x80xa6,b''
124,2019-05-02 07:54:24,brt funder breaking senator tillis just admitted he has not read the entire mueller report graham also said he hasnxe2x80x99t read the whole repxe2x80xa6,b'Tennessee'
125,2019-05-02 07:54:16,brt realsaavedra hillary clinton calls on china to illegally obtain trumpxe2x80x99s tax returns and give them to american medianndnc chair tom perxe2x80xa6,b'USA '
126,2019-05-02 07:54:15,brt realmattcouch raise your hand if after todays fiasco by the corrupt democrats youre even more motivated than ever to get people regixe2x80xa6,"b'Calp, communidad Valencia'"
127,2019-05-02 07:54:13,brt presssec ag bill barr served president george hw bush honorably as ag and has done the same for president trump democrats only disgxe2x80xa6,b''
128,2019-05-02 07:54:13,brt lrihendry realdonaldtrump seanhannity democrats amp msm want to keep the phony trump narrative alive demonizing president trump,"b'Benton Harbor, MI'"
129,2019-05-02 07:54:08,brt speakerpelosi today the gopxe2x80x99s cruel assault on americansxe2x80x99 health care continued in the courts while the trump doj tries to strike doxe2x80xa6,b''
130,2019-05-02 07:54:07,brt olganyc1211 trumpxe2x80x99s republicans are really batshitnaccording to them and ag barr it is ok to strategize w russian intel agents and krxe2x80xa6,b''
131,2019-05-02 07:54:02,bnowthisnews hexe2x80x99s scared because he knows whatxe2x80x99s in the mueller report he hasnxe2x80x99t seen an unredacted version but he knows realdonaldtrump is dirty and he knows whatever is in there is bad for trump and bad for the party democrats must not stop pushing for the truth and voters must act,b'United States'
132,2019-05-02 07:54:01,brt digby56 i think barr presents a sharp picture of what a smarter man wtrumps ethics might be like as president nnthis is what they arxe2x80xa6,b'Dallas'
133,2019-05-02 07:53:57,brt sethabramson 2 if these men are to be taken literally the only next step the democrats can take is to impeach barr so that either evxe2x80xa6,"b'California, USA'"
134,2019-05-02 07:53:55,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,b'Oh10 2 Vegas '
135,2019-05-02 07:53:47,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,b''
136,2019-05-02 07:53:41,blindseygrahamsc it is unfortunate that the republicans strategy is to follow trumps bidding by claiming that the investigation of the mueller report has ended similarly barrs decision to not attend the house hearing will not stop the american people from seeking the truth,b''
137,2019-05-02 07:53:36,bdipiteee nycsouthpaw barr also said he didnt know trump and mcconnell were notified that russians were targeting the elections in 82016 nnfor someone making decisions on a case he knows very little about that case sure seems like the fix was in,"b'California, USA'"
138,2019-05-02 07:53:32,brt psychdr100 trumpdemocrats were agreeing on a major infrastructure deal today republican senate says no deal unless every cent spexe2x80xa6,"b'California, USA'"
139,2019-05-02 07:53:31,brt proudresister bill barr is a traitor lindsey graham is a traitor mitch mcconnell is a traitor donald trump is a traitor but if demxe2x80xa6,b''
140,2019-05-02 07:53:29,brt stevenjharper1 someone briefed him on todayxe2x80x99s performance barr is daring democrats to impeach him they should no downside trumpgrxe2x80xa6,b'Padborg'
141,2019-05-02 07:53:25,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,"b'Salt Lake City, UT'"
142,2019-05-02 07:53:21,brt charliekirk11 rt if you are loving ag barr teach basic law to political democrats who hate trump more than they love america,b''
143,2019-05-02 07:53:20,bwhen cnn reports that america attempted a coupdxe2x80x99xc3xa9tat to illegally remove the duly elected president maduro but is dead silent about the coupdxe2x80x99xc3xa9tat that the democrats put together to remove our duly elected president trump you know you are dealing with fake news url,b'In The Spirit'
144,2019-05-02 07:53:19,bone simple question that every congressperson well democratic or independent because we know the republicans wont ask mr mueller if trump were a private citizen would you have indicted him 1simplequestion,b'third planet from the sun'
145,2019-05-02 07:53:12,brt donaldjtrumpjr you would think this wouldnt be a controversial statementbut based on their unhinged and disgraceful antics at thexe2x80xa6,b'The Great State of Texas '
146,2019-05-02 07:53:08,brt sethabramson 2 if these men are to be taken literally the only next step the democrats can take is to impeach barr so that either evxe2x80xa6,"b'Melbourne, Victoria'"
147,2019-05-02 07:53:07,brt palmerreport deutsche bank has donald trumps tax returns and is handing them over to house democrats url,"b'Atlanta, USA\xf0\x9f\x87\xba\xf0\x9f\x87\xb8'"
148,2019-05-02 07:53:00,brt charliekirk11 rt if you are loving ag barr teach basic law to political democrats who hate trump more than they love america,b''
149,2019-05-02 07:52:57,brt thedailybeast thatxe2x80x99s it democrats writes therickwilson put just one trump minion in jail for contempt and youxe2x80x99ll show that youxe2x80xa6,b''
150,2019-05-02 07:52:55,brt altuspresssec democrats the trump base is going to say youxe2x80x99re impeaching trump for conducting any oversightnnmight as well begin ixe2x80xa6,"b'Cuyahoga Falls, OH'"
151,2019-05-02 07:52:51,brt e_whittler the trump chaos doctrine the republican party will support whatever trump and his people do regardless of how illogical oxe2x80xa6,"b'Jefferson City, MO'"
152,2019-05-02 07:52:41,brt speakerpelosi itxe2x80x99s not just on the muellerreport realdonaldtrumpxe2x80x99s efforts to stonewall legitimate oversight by congress extends toxe2x80xa6,b'USA'
153,2019-05-02 07:52:39,bamerica is being attacked by russia and all trump and the republicans can come up with is witch hunt republicans should ask venezuela is russian invasion a witch hunt theyre being attacked by russia rome is burning,b'MN'
154,2019-05-02 07:52:39,brt repmarkgreen democrats refused to defend the integrity of the house by voting against the resolution referring cohenxe2x80x99s testimony to txe2x80xa6,b''
155,2019-05-02 07:52:36,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,b''
156,2019-05-02 07:52:36,brt teapainusa republicans never let facts get in the way of a good storynnurl,b''
157,2019-05-02 07:52:36,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,"b'England, United Kingdom'"
158,2019-05-02 07:52:36,brt realsaavedra hillary clinton calls on china to illegally obtain trumpxe2x80x99s tax returns and give them to american medianndnc chair tom perxe2x80xa6,b'Blue Marble'
159,2019-05-02 07:52:31,brt presssec ag bill barr served president george hw bush honorably as ag and has done the same for president trump democrats only disgxe2x80xa6,b'United States'
160,2019-05-02 07:52:29,brt speakerpelosi today the gopxe2x80x99s cruel assault on americansxe2x80x99 health care continued in the courts while the trump doj tries to strike doxe2x80xa6,"b'Adelaide, Australia'"
161,2019-05-02 07:52:29,brt ronaldklain im going to make this simple the trump administration is going to lie and stonewall until the democrats increase the prxe2x80xa6,b'Los Angeles'
162,2019-05-02 07:52:26,brt ryanafournier itxe2x80x99s another beautiful day in americannthe democrats are still whining and president trump is still winning xf0x9fx87xbaxf0x9fx87xb8,b''
163,2019-05-02 07:52:19,brt essenviews trump criticizes democrats treatment of william barr praises ags fantastic performance he did a fantastic job todayxe2x80xa6,b'The former United Kingdom '
